date,FOOD,BEVERAGES_AND_TOBACCO,CRUDE_MATERIALS_INEDIBLE,MINERAL_FUELS_LUBRICANTS_ETC,ANIMAL_AND_VEGETABLE_OILS_AND_FATS,CHEMICALS,MANUFACTURED_GOODS,MACHINERY__TRANSPORT_EQUIPMENT,MISCELLANEOUS_MANUFACTURED_ARTICLES,MISCELLANEOUS_TRANSACTIONS_AND_COMMODITIES,total_import
2003-06-01,960067111,90641023,587788474,1327348649,86678840,1833896770,2332913726,15389571578,1473955324,828717581,24911579076
2003-07-01,1106935635,92476976,644193441,1452737605,82156771,1700370470,2434760823,17734679044,1583569947,765068761,27596949473
2003-08-01,843098442,56588306,643759970,1289310499,59370703,1718871056,2043680373,16631303868,1507724230,725590342,25519297789
2003-09-01,963707116,96199967,625138160,1538294825,55309055,1755641751,2754410042,16973408465,1683832236,871741135,27317682752
2003-10-01,1217635124,88167645,755284905,1488225105,103398376,2091198434,3067719634,18773553637,1783746563,1000055848,30368985271
2003-11-01,1196179710,87987045,563916431,1273928691,145552006,1779996597,2639129516,16435785302,1557090963,923405533,26602971794
2003-12-01,1441387094,122035530,684196855,1660579551,165642600,2235119584,3046882400,19955984627,1916250510,894897389,32122976140
2004-01-01,1351476313,94178204,730066876,1700096315,207746053,2092985249,2811279527,17164566574,1599158813,766686880,28518240804
2004-02-01,1063270886,69021202,573109891,1312928390,102372122,2224063520,2660949550,16064933451,1615898869,695506528,26382054409
2004-03-01,1286647208,118655850,852939361,1452529305,444096969,2660425842,3557218000,19823774714,2123678459,1003337127,33323302835
2004-04-01,1401939326,134356016,1011936174,1851803234,446556626,2561063660,3844896069,19176757612,2028205183,1067819013,33525332913
2004-05-01,1239866057,105038978,808510816,2026948560,275823583,2619724133,3425422404,18080302714,1938910158,1068786921,31589334324
2004-06-01,1470493201,94255623,1125572167,2015942717,327676747,2734635207,3742012411,19951678538,2080054741,1103232334,34645553686
2004-07-01,1449482611,94351969,930524072,2043906717,256021220,2690740744,3987565729,20221842887,2188706947,1066828876,34929971772
2004-08-01,1437291495,97897502,931263600,2308628500,121533536,2685380443,3540983475,19130261625,1994752399,1081571835,33329564410
2004-09-01,1424039514,126805337,920962547,3026655424,168327750,2869554173,4076948466,21685296015,2232657902,1104276834,37635523962
2004-10-01,1518507087,139466091,847630597,2363092747,199725655,2876243557,3790215880,21147042415,2120739441,1028530524,36031193994
2004-11-01,1322851799,145223010,703661403,2272087801,144661412,2831339304,3773792299,18872366097,1804244461,899303292,32769530878
2004-12-01,1516207549,171584977,1039662986,2743655368,216489548,2939734617,4105922710,21172474330,2018851652,1027983204,36952566941
2005-01-01,1529794190,161791975,680067919,2464632538,151670210,2607364128,3657266275,17478475209,1617359596,897365947,31245787987
2005-02-01,1140178872,94604447,825927148,2252279380,152237352,2507166471,3440531964,16738231491,1514258020,794397713,29459812858
2005-03-01,1464390135,112227013,892241112,2995007694,239012334,3080483459,3944405453,20838329847,1790991798,1181278957,36538367802
2005-04-01,1693925472,101118493,750992812,2511545975,181227717,2808986013,3948968133,20104895791,1781044034,1114169980,34996874420
2005-05-01,1226076065,108926427,1063561984,3019164288,137500656,2816853271,4235280529,20448117205,1813673428,1091274108,35960427961
2005-06-01,1568560633,99609494,892078237,2974932013,164005870,2936190663,4362001616,20761389153,1871606154,1100793088,36731166921
2005-07-01,1575732681,115861183,941283681,2988344107,186153751,2910845341,4189606856,21675852995,1952563827,1063197652,37599442074
2005-08-01,1357424380,90406378,856341586,2561115689,135460850,2954888973,3887091750,21792878865,1914532465,1104317136,36654458072
2005-09-01,1497565628,111094222,1003436805,3513235235,96626855,2863900300,3958101431,23689943507,2058178681,1175606199,39967688863
2005-10-01,1674862101,106457684,920293391,3267584543,231900276,2828222289,4470794508,22267375752,2174431320,1187436327,39129358191
2005-11-01,1365962053,116009284,665534297,3203518845,167994969,2710684022,3608939953,19813753911,1955137230,1003382777,34610917341
2005-12-01,1685697044,245166345,1004518861,3186797849,250775578,2870029354,4261018796,23158281837,2157737739,1156471770,39976495173
2006-01-01,1475040809,116322766,816167771,2712700778,305999888,2624119066,3623594223,19709403881,1854344317,932725612,34170419111
2006-02-01,1393848279,88625932,646065191,3114212937,420321513,2781048397,3796174196,19672348421,1846967213,973223334,34732835413
2006-03-01,1609911820,125204803,864664292,3269134839,228885304,3191750531,4594410741,24163050869,2222942842,1252423785,41522379826
2006-04-01,1752884830,129417433,767778435,3297236977,194171823,2870026038,4347405911,22099845052,2228613089,1028318084,38715697672
2006-05-01,1650607954,115942697,1074277919,4054685602,195813470,3054215477,4703060107,21622393687,2288257088,1163451560,39922705561
2006-06-01,1666700845,123096124,1141948680,3109977058,185698385,3095123166,4711868874,23121514405,2273978060,1199475681,40629381278
2006-07-01,1564581590,136873190,1403256007,3900587527,140198677,3260071115,4772141007,22495632038,2224540111,1233724310,41131605572
2006-08-01,1802519869,132061899,1385992176,4389877393,178973027,3341076113,5202192565,23100561176,2311757493,1243285105,43088296816
2006-09-01,1900144255,165833078,1412286805,3929915619,157905019,3158603440,4917939709,23325139669,2263860459,1308469116,42540097169
2006-10-01,1672545434,131118310,1058396526,3194122393,217734210,2892426062,4842768556,20874418937,2137544290,1275855694,38296930412
2006-11-01,1708812420,118300196,1163822674,3324438790,252188276,3370932250,4814789099,23824512559,2152829723,1314498919,42045124906
2006-12-01,1770344344,156354014,1092048274,3248723159,214870890,3173831102,5325026196,22654167719,2410424100,1306659030,41352448828
2007-01-01,1854875338,153053284,1107600434,3306798780,234260301,3256713197,4956805551,22269446653,1877589912,1320670900,40337814350
2007-02-01,1640785514,87176593,1120133309,2742552944,111321280,3101077057,4270151110,18467812651,1579729857,995454626,34116194941
2007-03-01,1979927009,131742965,1281819130,4063186496,151189134,3501004002,5572982868,22301430894,2000968498,1373197824,42357448820
2007-04-01,1875505571,123608237,1264346737,3196982752,201199781,3160025348,5514381246,21375953946,2130814467,1370088972,40212907057
2007-05-01,1789932610,152985877,1387067268,3795858928,207549205,3487519469,5575255437,21714384221,1992313257,1468946268,41571812540
2007-06-01,1880421057,130083042,1331439178,3553687622,322392719,3194725709,5275178910,21311637480,1869324090,1427541175,40296430982
2007-07-01,1762982901,135543251,1534801844,3375896557,360464087,3334759614,5366207590,23013634248,2046406267,1512515670,42443212029
2007-08-01,2328786914,136078630,1475867798,4414288273,233849877,3486883192,5494717538,23209279555,2258228112,1552891532,44590871421
2007-09-01,2207031286,170527364,1433425658,3077599865,264894222,3544097372,5222567956,22992758120,2115641627,1502216306,42530759776
2007-10-01,2049071188,128672888,1508341029,4105334721,302710580,3571168087,5505503158,24446870099,2347766832,1409190218,45374628800
2007-11-01,1950867611,195444156,1410497132,4408616306,357315788,3683482675,5408712346,22922218592,2182894415,1428698009,43948747030
2007-12-01,2095667996,159463676,1557128644,4207263544,413091788,3474877629,5345566303,23324256060,2294908997,1391571959,44263796596
2008-01-01,2249332724,191792045,1402393768,4424207939,546298979,3734183482,5239526983,21904990868,2095140284,1421537360,43209404432
2008-02-01,2141070124,135487638,1363729127,3401962776,422075783,3363109943,4624422638,19529046553,1882924159,1039127412,37902956153
2008-03-01,2126888780,152868098,1338314177,5139500129,455970184,3740421173,5725850121,21822445212,2154587528,956139227,43612984629
2008-04-01,2411500110,161324075,1482145764,4734123222,705843641,3722620579,5589524412,20976928584,2316196808,1130503193,43230710388
2008-05-01,2345244053,188635759,1639736677,5801582981,283244438,4041620289,5572756449,21910303715,2515414342,1105146253,45403684956
2008-06-01,2497363290,152576612,1643907395,6031065612,302719792,3991605957,5878204953,21099336289,2422997065,1082216314,45101993279
2008-07-01,3032413870,167230330,1752627187,5147557026,516738430,4669829988,6257307342,23276517438,2671464403,1235792525,48727478539
2008-08-01,2404578639,146992364,1628280085,7122791023,234777884,4268606296,5852890051,21693608459,2448835758,1055271540,46856632099
2008-09-01,2257600236,175942453,2389331352,5184013183,541521208,4342517555,5991307942,22009298689,3234008180,1275144653,47400685451
2008-10-01,1889086620,198985521,1638509595,4034622690,441700341,3881258741,5889212546,22290047848,2363021136,1082123349,43708568387
2008-11-01,2134327521,163563287,1380962222,3535539778,459056716,3210062058,5354217071,20445174488,2345687197,1183308102,40211898440
2008-12-01,2479854720,279891057,981827499,2247354327,309097446,2655760790,5179690429,17325272856,2178579555,799968285,34437296964
2009-01-01,2204213752,113946596,797064354,2195847800,215507823,2048712200,3968741173,16183998758,1757612262,584859400,30070504118
2009-02-01,1861921722,128604858,685009690,2102052814,249146363,2496860121,3646217285,14118291309,1518441841,555776871,27362322874
2009-03-01,2302641917,153796535,874640870,2007874669,414086004,2655465961,3757517298,16063139127,1869355117,810841433,30909358931
2009-04-01,2247120820,189837436,948102372,2359625053,318269337,3099383601,4239386578,17338830891,1975744969,999099662,33715400719
2009-05-01,2221490522,207358744,1012634355,2142948767,438569307,3068610676,3915905162,17065132918,2059026074,864541210,32996217735
2009-06-01,2046973503,213185606,1315173769,2998373637,525738419,3674240054,4338548760,17533859259,2152558192,1181888707,35980539906
2009-07-01,2493769506,203648265,1492110624,3649913087,429673252,4125023435,4977417318,20129022144,2485155877,1003136279,40988869787
2009-08-01,2199972585,158671196,1426133069,3331683954,427269220,3524630377,4614613763,19409721780,2270592616,891760105,38255048665
2009-09-01,2222967513,150642561,1486803159,3598714439,462610195,3771463843,4553543505,18548594263,2317986192,846405591,37959731261
2009-10-01,2399792374,148517798,1428571100,4658186265,486279483,3759955367,5129726835,21450604924,2555460026,786307344,42803401516
2009-11-01,2130757155,212269562,1724333794,3214704911,441764563,3394464172,4708244821,22395016682,2237869842,656205444,41115630946
