date,total_export,total_import,EXMAUS,RBMYBIS,world_export
2005-02-01,36824804960,29459812858,3.8,90.94,773283.804014
2005-03-01,46987097029,36538367802,3.8,90.35,903607.393184
2005-04-01,43797531125,34996874420,3.8,91.01,877727.80001
2005-05-01,42915869585,35960427961,3.8,91.89,861590.978093
2005-06-01,44749721803,36731166921,3.8,93.46,890242.430307
2005-07-01,43784289554,37599442074,3.7872,94.29,851209.167405
2005-08-01,46746312908,36654458072,3.7589,94.4,865199.767093
2005-09-01,48016870418,39967688863,3.7689,94.17,936700.267589
2005-10-01,49748242713,39129358191,3.7735,94.88,929290.347681
2005-11-01,43711720972,34610917341,3.7782,96.13,928894.476947
2005-12-01,49745390585,39976495173,3.778,95.66,915838.881651
2006-01-01,43199834655,34170419111,3.753,94.6,880229.547192
2006-02-01,42409082571,34732835413,3.7276,95.48,872710.705871
2006-03-01,51429024693,41522379826,3.704,97.19,1030507.673149
2006-04-01,45900138502,38715697672,3.6626,96.91,947317.801937
2006-05-01,48243868633,39922705561,3.6091,96.66,1030271.392363
2006-06-01,49157212456,40629381278,3.6638,96.45,1050491.382518
2006-07-01,50558415878,41131605572,3.6679,96.26,999262.687007
2006-08-01,53409587314,43088296816,3.673,95.44,1016211.366704
2006-09-01,53120776711,42540097169,3.6699,95.89,1065708.917728
2006-10-01,48039233962,38296930412,3.6762,96.01,1068367.830687
2006-11-01,51331488691,42045124906,3.6413,96.21,1092754.401787
2006-12-01,52441680434,41352448828,3.5477,97.58,1051574.770728
2007-01-01,47982139078,40337814350,3.5065,100.04,1020674.834675
2007-02-01,40894793672,34116194941,3.4949,99.77,997473.338577
2007-03-01,48793518306,42357448820,3.4894,98.86,1150244.13084
2007-04-01,45968460257,40212907057,3.4364,99.29,1098786.044782
2007-05-01,49702123724,41571812540,3.4002,100.0,1151099.041502
2007-06-01,49118554366,40296430982,3.4444,99.04,1168238.188755
2007-07-01,50384374708,42443212029,3.4397,98.1,1180902.946509
2007-08-01,53863036467,44590871421,3.4826,96.87,1157610.990294
